id,title,abstract,categories,authors,published_date,updated_date
2503.17363v1,Dancing with Critiques: Enhancing LLM Reasoning with Stepwise Natural Language Self-Critique,"Enhancing the reasoning capabilities of large language models (LLMs),
particularly for complex tasks requiring multi-step logical deductions, remains
a significant challenge. Traditional inference time scaling methods utilize
scalar reward signals from process reward models to evaluate candidate
reasoning steps, but these scalar rewards lack the nuanced qualitative
information essential for understanding and justifying each step. In this
paper, we propose a novel inference-time scaling approach -- stepwise natural
language self-critique (PANEL), which employs self-generated natural language
critiques as feedback to guide the step-level search process. By generating
rich, human-readable critiques for each candidate reasoning step, PANEL retains
essential qualitative information, facilitating better-informed decision-making
during inference. This approach bypasses the need for task-specific verifiers
and the associated training overhead, making it broadly applicable across
diverse tasks. Experimental results on challenging reasoning benchmarks,
including AIME and GPQA, demonstrate that PANEL significantly enhances
reasoning performance, outperforming traditional scalar reward-based methods.
Our code is available at https://github.com/puddingyeah/PANEL to support and
encourage future research in this promising field.",['cs.CL'],"['Yansi Li', 'Jiahao Xu', 'Tian Liang', 'Xingyu Chen', 'Zhiwei He', 'Qiuzhi Liu', 'Rui Wang', 'Zhuosheng Zhang', 'Zhaopeng Tu', 'Haitao Mi', 'Dong Yu']",2025-03-21,2025-03-21
2503.17361v1,Gumbel-Softmax Flow Matching with Straight-Through Guidance for Controllable Biological Sequence Generation,"Flow matching in the continuous simplex has emerged as a promising strategy
for DNA sequence design, but struggles to scale to higher simplex dimensions
required for peptide and protein generation. We introduce Gumbel-Softmax Flow
and Score Matching, a generative framework on the simplex based on a novel
Gumbel-Softmax interpolant with a time-dependent temperature. Using this
interpolant, we introduce Gumbel-Softmax Flow Matching by deriving a
parameterized velocity field that transports from smooth categorical
distributions to distributions concentrated at a single vertex of the simplex.
We alternatively present Gumbel-Softmax Score Matching which learns to regress
the gradient of the probability density. Our framework enables high-quality,
diverse generation and scales efficiently to higher-dimensional simplices. To
enable training-free guidance, we propose Straight-Through Guided Flows
(STGFlow), a classifier-based guidance method that leverages straight-through
estimators to steer the unconditional velocity field toward optimal vertices of
the simplex. STGFlow enables efficient inference-time guidance using
classifiers pre-trained on clean sequences, and can be used with any discrete
flow method. Together, these components form a robust framework for
controllable de novo sequence generation. We demonstrate state-of-the-art
performance in conditional DNA promoter design, sequence-only protein
generation, and target-binding peptide design for rare disease treatment.","['cs.LG', 'q-bio.BM']","['Sophia Tang', 'Yinuo Zhang', 'Alexander Tong', 'Pranam Chatterjee']",2025-03-21,2025-03-21
2503.17359v1,Position: Interactive Generative Video as Next-Generation Game Engine,"Modern game development faces significant challenges in creativity and cost
due to predetermined content in traditional game engines. Recent breakthroughs
in video generation models, capable of synthesizing realistic and interactive
virtual environments, present an opportunity to revolutionize game creation. In
this position paper, we propose Interactive Generative Video (IGV) as the
foundation for Generative Game Engines (GGE), enabling unlimited novel content
generation in next-generation gaming. GGE leverages IGV's unique strengths in
unlimited high-quality content synthesis, physics-aware world modeling,
user-controlled interactivity, long-term memory capabilities, and causal
reasoning. We present a comprehensive framework detailing GGE's core modules
and a hierarchical maturity roadmap (L0-L4) to guide its evolution. Our work
charts a new course for game development in the AI era, envisioning a future
where AI-powered generative systems fundamentally reshape how games are created
and experienced.",['cs.CV'],"['Jiwen Yu', 'Yiran Qin', 'Haoxuan Che', 'Quande Liu', 'Xintao Wang', 'Pengfei Wan', 'Di Zhang', 'Xihui Liu']",2025-03-21,2025-03-21
2503.17358v1,Image as an IMU: Estimating Camera Motion from a Single Motion-Blurred Image,"In many robotics and VR/AR applications, fast camera motions cause a high
level of motion blur, causing existing camera pose estimation methods to fail.
In this work, we propose a novel framework that leverages motion blur as a rich
cue for motion estimation rather than treating it as an unwanted artifact. Our
approach works by predicting a dense motion flow field and a monocular depth
map directly from a single motion-blurred image. We then recover the
instantaneous camera velocity by solving a linear least squares problem under
the small motion assumption. In essence, our method produces an IMU-like
measurement that robustly captures fast and aggressive camera movements. To
train our model, we construct a large-scale dataset with realistic synthetic
motion blur derived from ScanNet++v2 and further refine our model by training
end-to-end on real data using our fully differentiable pipeline. Extensive
evaluations on real-world benchmarks demonstrate that our method achieves
state-of-the-art angular and translational velocity estimates, outperforming
current methods like MASt3R and COLMAP.",['cs.CV'],"['Jerred Chen', 'Ronald Clark']",2025-03-21,2025-03-21
2503.17355v1,Glivenko-Cantelli for $f$-divergence,"We extend the celebrated Glivenko-Cantelli theorem, sometimes called the
fundamental theorem of statistics, from its standard setting of total variation
distance to all $f$-divergences. A key obstacle in this endeavor is to define
$f$-divergence on a subcollection of a $\sigma$-algebra that forms a
$\pi$-system but not a $\sigma$-subalgebra. This is a side contribution of our
work. We will show that this notion of $f$-divergence on the $\pi$-system of
rays preserves nearly all known properties of standard $f$-divergence, yields a
novel integral representation of the Kolmogorov-Smirnov distance, and has a
Glivenko-Cantelli theorem.","['math.ST', 'cs.LG', 'stat.TH', '60B10, 60F15, 60F25']","['Haoming Wang', 'Lek-Heng Lim']",2025-03-21,2025-03-21
2503.17354v1,HCAST: Human-Calibrated Autonomy Software Tasks,"To understand and predict the societal impacts of highly autonomous AI
systems, we need benchmarks with grounding, i.e., metrics that directly connect
AI performance to real-world effects we care about. We present HCAST
(Human-Calibrated Autonomy Software Tasks), a benchmark of 189 machine learning
engineering, cybersecurity, software engineering, and general reasoning tasks.
We collect 563 human baselines (totaling over 1500 hours) from people skilled
in these domains, working under identical conditions as AI agents, which lets
us estimate that HCAST tasks take humans between one minute and 8+ hours.
Measuring the time tasks take for humans provides an intuitive metric for
evaluating AI capabilities, helping answer the question ""can an agent be
trusted to complete a task that would take a human X hours?"" We evaluate the
success rates of AI agents built on frontier foundation models, and we find
that current agents succeed 70-80% of the time on tasks that take humans less
than one hour, and less than 20% of the time on tasks that take humans more
than 4 hours.","['cs.AI', 'I.2.0']","['David Rein', 'Joel Becker', 'Amy Deng', 'Seraphina Nix', 'Chris Canal', ""Daniel O'Connel"", 'Pip Arnott', 'Ryan Bloom', 'Thomas Broadley', 'Katharyn Garcia', 'Brian Goodrich', 'Max Hasin', 'Sami Jawhar', 'Megan Kinniment', 'Thomas Kwa', 'Aron Lajko', 'Nate Rush', 'Lucas Jun Koba Sato', 'Sydney Von Arx', 'Ben West', 'Lawrence Chan', 'Elizabeth Barnes']",2025-03-21,2025-03-21
2503.17353v1,NdLinear Is All You Need for Representation Learning,"Many high-impact machine learning tasks involve multi-dimensional data (e.g.,
images, volumetric medical scans, multivariate time-series). Yet, most neural
architectures flatten inputs, discarding critical cross-dimension information.
We introduce NdLinear, a novel linear transformation that preserves these
structures without extra overhead. By operating separately along each
dimension, NdLinear captures dependencies that standard fully connected layers
overlook. Extensive experiments across convolutional, recurrent, and
transformer-based networks show significant improvements in representational
power and parameter efficiency. Crucially, NdLinear serves as a foundational
building block for large-scale foundation models by operating on any unimodal
or multimodal data in its native form. This removes the need for flattening or
modality-specific preprocessing. Ndlinear rethinks core architectural
priorities beyond attention, enabling more expressive, context-aware models at
scale. We propose NdLinear as a drop-in replacement for standard linear layers
-- marking an important step toward next-generation neural architectures.","['cs.LG', 'cs.AI']","['Alex Reneau', 'Jerry Yao-Chieh Hu', 'Zhongfang Zhuang', 'Ting-Chun Liu']",2025-03-21,2025-03-21
2503.17352v1,OpenVLThinker: An Early Exploration to Complex Vision-Language Reasoning via Iterative Self-Improvement,"Recent advancements demonstrated by DeepSeek-R1 have shown that complex
reasoning abilities in large language models (LLMs), including sophisticated
behaviors such as self-verification and self-correction, can be achieved by RL
with verifiable rewards and significantly improves model performance on
challenging tasks such as AIME. Motivated by these findings, our study
investigates whether similar reasoning capabilities can be successfully
integrated into large vision-language models (LVLMs) and assesses their impact
on challenging multimodal reasoning tasks. We consider an approach that
iteratively leverages supervised fine-tuning (SFT) on lightweight training data
and Reinforcement Learning (RL) to further improve model generalization.
Initially, reasoning capabilities were distilled from pure-text R1 models by
generating reasoning steps using high-quality captions of the images sourced
from diverse visual datasets. Subsequently, iterative RL training further
enhance reasoning skills, with each iteration's RL-improved model generating
refined SFT datasets for the next round. This iterative process yielded
OpenVLThinker, a LVLM exhibiting consistently improved reasoning performance on
challenging benchmarks such as MathVista, MathVerse, and MathVision,
demonstrating the potential of our strategy for robust vision-language
reasoning. The code, model and data are held at
https://github.com/yihedeng9/OpenVLThinker.","['cs.CV', 'cs.CL']","['Yihe Deng', 'Hritik Bansal', 'Fan Yin', 'Nanyun Peng', 'Wei Wang', 'Kai-Wei Chang']",2025-03-21,2025-03-21
2503.17351v1,Time-Series U-Net with Recurrence for Noise-Robust Imaging Photoplethysmography,"Remote estimation of vital signs enables health monitoring for situations in
which contact-based devices are either not available, too intrusive, or too
expensive. In this paper, we present a modular, interpretable pipeline for
pulse signal estimation from video of the face that achieves state-of-the-art
results on publicly available datasets.Our imaging photoplethysmography (iPPG)
system consists of three modules: face and landmark detection, time-series
extraction, and pulse signal/pulse rate estimation. Unlike many deep learning
methods that make use of a single black-box model that maps directly from input
video to output signal or heart rate, our modular approach enables each of the
three parts of the pipeline to be interpreted individually. The pulse signal
estimation module, which we call TURNIP (Time-Series U-Net with Recurrence for
Noise-Robust Imaging Photoplethysmography), allows the system to faithfully
reconstruct the underlying pulse signal waveform and uses it to measure heart
rate and pulse rate variability metrics, even in the presence of motion. When
parts of the face are occluded due to extreme head poses, our system explicitly
detects such ""self-occluded"" regions and maintains estimation robustness
despite the missing information. Our algorithm provides reliable heart rate
estimates without the need for specialized sensors or contact with the skin,
outperforming previous iPPG methods on both color (RGB) and near-infrared (NIR)
datasets.",['cs.CV'],"['Vineet R. Shenoy', 'Shaoju Wu', 'Armand Comas', 'Tim K. Marks', 'Suhas Lohit', 'Hassan Mansour']",2025-03-21,2025-03-21
2503.17350v1,Decouple and Track: Benchmarking and Improving Video Diffusion Transformers for Motion Transfer,"The motion transfer task involves transferring motion from a source video to
newly generated videos, requiring the model to decouple motion from appearance.
Previous diffusion-based methods primarily rely on separate spatial and
temporal attention mechanisms within 3D U-Net. In contrast, state-of-the-art
video Diffusion Transformers (DiT) models use 3D full attention, which does not
explicitly separate temporal and spatial information. Thus, the interaction
between spatial and temporal dimensions makes decoupling motion and appearance
more challenging for DiT models. In this paper, we propose DeT, a method that
adapts DiT models to improve motion transfer ability. Our approach introduces a
simple yet effective temporal kernel to smooth DiT features along the temporal
dimension, facilitating the decoupling of foreground motion from background
appearance. Meanwhile, the temporal kernel effectively captures temporal
variations in DiT features, which are closely related to motion. Moreover, we
introduce explicit supervision along dense trajectories in the latent feature
space to further enhance motion consistency. Additionally, we present MTBench,
a general and challenging benchmark for motion transfer. We also introduce a
hybrid motion fidelity metric that considers both the global and local motion
similarity. Therefore, our work provides a more comprehensive evaluation than
previous works. Extensive experiments on MTBench demonstrate that DeT achieves
the best trade-off between motion fidelity and edit fidelity.",['cs.CV'],"['Qingyu Shi', 'Jianzong Wu', 'Jinbin Bai', 'Jiangning Zhang', 'Lu Qi', 'Xiangtai Li', 'Yunhai Tong']",2025-03-21,2025-03-21
